Type,Category,Collection,Tags
Lip Gloss,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Lip Gloss, Lip, Makeup"
Lipstick,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Lipstick, Lip, Makeup"
Lip Oil,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Lip Oil, Lip, Makeup"
Lip Plumper,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Lip Plumper, Lip, Makeup"
Lip,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Lip, Lip, Makeup"
Liquid Lipstick,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Liquid Lipstick, Lip, Makeup"
Lip Liner,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Lip Liner, Lip, Makeup"
Lip Stain,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Lip Stain, Lip, Makeup"
Lip Sets,Lip,Makeup,"vsk_disable, via_disabled, All Samples, Lip Sets, Lip, Makeup"
Blush,Cheek,Makeup,"vsk_disable, via_disabled, All Samples, Blush, Cheek, Makeup"
Candle,Candles,Fragrance, "vsk_disable, via_disabled, All Samples, Candle, Candles, Fragrance"
Bronzer,Cheek,Makeup,"vsk_disable, via_disabled, All Samples, Bronzer, Cheek, Makeup"
Highlighter,Cheek,Makeup,"vsk_disable, via_disabled, All Samples, Highlighter, Cheek, Makeup"
Contour,Cheek,Makeup,"vsk_disable, via_disabled, All Samples, Contour, Cheek, Makeup"
Cheek Palettes,Cheek,Makeup,"vsk_disable, via_disabled, All Samples, Cheek Palettes, Cheek, Makeup"
Perfume,Perfumes & Colognes,Fragrance,"vsk_disable, via_disabled, All Samples, Perfume, Perfumes & Colognes, Fragrance"
Perfume Oil,Perfumes & Colognes,Fragrance,"vsk_disable, via_disabled, All Samples, Perfume Oil, Perfumes & Colognes, Fragrance"
Body & Hair Mist,Perfumes & Colognes,Fragrance,"vsk_disable, via_disabled, All Samples, Body & Hair Mist, Perfumes & Colognes, Fragrance"
Cologne,Perfumes & Colognes,Fragrance,"vsk_disable, via_disabled, All Samples, Cologne, Perfumes & Colognes, Fragrance"
Nail Polish, Nail, Makeup, "vsk_disable, via_disabled, All Samples, Nail Polish, Nail, Makeup"
